# 题目导入模板文件
# 格式说明：题目类型|科目|题目内容|选项A|选项B|选项C|选项D|正确答案|分值|难度|解析
# 题目类型：SINGLE(单选)、MULTIPLE(多选)、JUDGE(判断)、BLANK(填空)、APPLICATION(应用题)、ALGORITHM(算法设计题)、SHORT_ANSWER(简答题)、COMPREHENSIVE(综合题)
# 难度：EASY(简单)、MEDIUM(中等)、HARD(困难)
# 以#开头的行为注释，会被忽略

# 示例题目：
# 单选题示例
SINGLE|Java|Java中哪个关键字可以用来定义常量？|const|final|static|constant|B|5|EASY|final关键字用于定义常量，被final修饰的变量不可改变。
SINGLE|Java|下列哪个不是Java的基本数据类型？|int|float|boolean|String|D|5|EASY|String是引用类型，不是基本数据类型。

# 多选题示例
MULTIPLE|Java|Java中哪些是访问修饰符？|public|private|protected|final|ABC|10|EASY|public、private、protected是访问修饰符，final是最终修饰符。

# 判断题示例
JUDGE|Java|Java支持多继承|正确|错误|||B|5|EASY|Java不支持类的多继承，但支持接口的多实现。

# 填空题示例
BLANK|Java|Java中声明整数变量的关键字是____。||||int|5|EASY|使用int关键字声明整数类型。

# 应用题示例（正确答案可以为关键要点描述）
APPLICATION|Java|请编写一个Java程序，实现学生成绩管理系统，要求包含添加、删除、查询、修改功能。|||||1.定义Student类 2.使用ArrayList存储 3.实现CRUD操作 4.提供菜单交互|20|MEDIUM|考查面向对象、集合框架和系统设计能力。

# 算法设计题示例（正确答案可以为算法描述或关键代码）
ALGORITHM|算法|请设计一个算法，实现快速排序（Quick Sort），并分析其时间复杂度。|||||1.选择基准元素 2.分区操作 3.递归排序 4.时间复杂度O(nlogn)|25|HARD|快速排序是分治算法的典型应用，平均时间复杂度为O(nlogn)。

# 简答题示例（正确答案为关键要点）
SHORT_ANSWER|Java|请简述Java中面向对象的三大特征及其含义。|||||1.封装：将数据和方法封装在类中 2.继承：子类继承父类的属性和方法 3.多态：同一接口的不同实现|15|MEDIUM|面向对象的三大特征是Java的核心概念。
SHORT_ANSWER|数据库|请解释数据库事务的ACID特性。|||||1.原子性(Atomicity) 2.一致性(Consistency) 3.隔离性(Isolation) 4.持久性(Durability)|15|MEDIUM|事务的ACID特性保证了数据库操作的可靠性。

# 综合题示例（正确答案为详细解答要点）
COMPREHENSIVE|Java|请设计并实现一个学生管理系统，包括学生信息管理、成绩管理、课程管理等功能，并说明系统架构和技术选型。|||||1.系统架构设计 2.数据库设计 3.类图设计 4.核心功能实现 5.异常处理 6.性能优化|30|HARD|综合考查系统分析、设计和实现能力。
COMPREHENSIVE|计算机网络|请设计一个小型企业网络方案，包括网络拓扑、IP地址规划、安全策略等，并说明设计理由。|||||1.网络拓扑设计 2.VLAN划分 3.IP地址规划 4.路由配置 5.防火墙设置 6.备份方案|30|HARD|综合考查网络设计和实施能力。
