# 题目导入测试文件 - 包含应用题和算法设计题
# 格式说明：题目类型|科目|题目内容|选项A|选项B|选项C|选项D|正确答案|分值|难度|解析

# 单选题示例
SINGLE|Java|Java中哪个关键字可以用来定义常量？|const|final|static|constant|B|5|EASY|final关键字用于定义常量，被final修饰的变量不可改变。

# 多选题示例
MULTIPLE|Java|Java中哪些是访问修饰符？|public|private|protected|final|ABC|10|EASY|public、private、protected是访问修饰符，final是最终修饰符。

# 判断题示例
JUDGE|Java|Java支持多继承|正确|错误|||B|5|EASY|Java不支持类的多继承，但支持接口的多实现。

# 填空题示例
BLANK|Java|Java中声明整数变量的关键字是____。||||int|5|EASY|使用int关键字声明整数类型。

# 应用题示例
APPLICATION|Java|请编写一个Java程序，实现学生成绩管理系统，要求包含添加、删除、查询、修改功能。|||||1.定义Student类 2.使用ArrayList存储 3.实现CRUD操作 4.提供菜单交互|20|MEDIUM|考查面向对象、集合框架和系统设计能力。
APPLICATION|数据库|设计一个图书管理系统的数据库，包含图书表、读者表、借阅记录表，并编写查询借阅统计的SQL语句。|||||1.设计ER图 2.创建表结构 3.设置主外键 4.编写统计查询SQL|25|MEDIUM|考查数据库设计和SQL语句编写能力。

# 算法设计题示例
ALGORITHM|算法|请设计一个算法，实现快速排序（Quick Sort），并分析其时间复杂度。|||||1.选择基准元素 2.分区操作 3.递归排序 4.时间复杂度O(nlogn)|25|HARD|快速排序是分治算法的典型应用，平均时间复杂度为O(nlogn)。
ALGORITHM|算法|实现一个二叉树的层序遍历算法，要求使用队列数据结构。|||||1.使用队列存储节点 2.逐层遍历 3.输出每层节点值|20|MEDIUM|层序遍历是广度优先搜索的应用，需要掌握队列的使用。

# 简答题示例
SHORT_ANSWER|Java|请简述Java中面向对象的三大特征及其含义。|||||1.封装：将数据和方法封装在类中 2.继承：子类继承父类的属性和方法 3.多态：同一接口的不同实现|15|MEDIUM|面向对象的三大特征是Java的核心概念。
SHORT_ANSWER|数据库|请解释数据库事务的ACID特性。|||||1.原子性(Atomicity) 2.一致性(Consistency) 3.隔离性(Isolation) 4.持久性(Durability)|15|MEDIUM|事务的ACID特性保证了数据库操作的可靠性。

# 综合题示例
COMPREHENSIVE|Java|请设计并实现一个学生管理系统，包括学生信息管理、成绩管理、课程管理等功能，并说明系统架构和技术选型。|||||1.系统架构设计 2.数据库设计 3.类图设计 4.核心功能实现 5.异常处理 6.性能优化|30|HARD|综合考查系统分析、设计和实现能力。
COMPREHENSIVE|计算机网络|请设计一个小型企业网络方案，包括网络拓扑、IP地址规划、安全策略等，并说明设计理由。|||||1.网络拓扑设计 2.VLAN划分 3.IP地址规划 4.路由配置 5.防火墙设置 6.备份方案|30|HARD|综合考查网络设计和实施能力。

# 论述题示例
ESSAY|马克思主义|请论述马克思主义在中国的传播和发展，并结合实际谈谈其对中国革命和建设的指导意义。|||||1.马克思主义传入中国的历史背景 2.与中国实际相结合 3.指导中国革命实践 4.指导社会主义建设 5.不断创新发展|25|HARD|论述题考查学生的理论分析和论证能力。
ESSAY|计算机科学|请论述人工智能技术的发展现状和未来趋势，分析其对社会的影响及伦理问题。|||||1.人工智能技术发展现状 2.未来发展趋势 3.对社会的积极影响 4.可能带来的问题 5.伦理和法律考量|25|HARD|考查对前沿技术的理解和批判性思维。

# 材料分析题示例
MATERIAL_ANALYSIS|语文|阅读下面材料：《荷塘月色》节选：“曲曲折折的荷塘上面，弥望的是田田的叶子。” 请分析这句话的修辞手法和表达效果。|||||1.拟人修辞手法 2.“曲曲折折”写出荷塘的形态 3.“弥望”写出范围之广 4.营造宁静优美的意境|20|MEDIUM|考查文学作品的阅读理解和分析能力。
MATERIAL_ANALYSIS|政治|材料：2023年中国GDP增长5.2%，经济总量超过126万亿元。请结合材料分析中国经济发展的特点和面临的挑战。|||||1.经济总量持续增长 2.高质量发展成效显著 3.国际环境复杂 4.内部结构调整 5.创新驱动发展|20|MEDIUM|考查对时事材料的分析和理解能力。
